code_hs	designation	unite_us	taux_dd	categorie	statut
1515.50.00.00	- Huile de sésame et ses fractions	kg	10.00	2	actif
1515.60.00.00	- Graisses et huiles d'origine microbienne et leurs fractions - Autres : -- Huile de karité et ses fractions :	kg	10.00	2	actif
1515.90.11.00	--- Huile brute	kg	10.00	2	actif
1515.90.19.00	--- Autres	kg	20.00	3	actif
1515.90.90.00	-- Autres Graisses et huiles animales, végétales ou d'origine microbienne et leurs fractions, partiellement ou totalement hydrogénées, interestérifiées, réestérifiées ou élaïdinisées, même raffinées, mais non autrement préparées.	kg	10.00	2	actif
1516.10.00.00	- Graisses et huiles animales et leurs fractions - Graisses et huiles végétales et leurs fractions :	kg	20.00	3	actif
1516.20.10.00	-- Graisses végétales hydrogénées	kg	10.00	2	actif
1516.20.90.00	-- Autres	kg	10.00	2	actif
1516.30.00.00	- Graisses et huiles d'origine microbienne et leurs fractions Margarine; mélanges ou préparations alimentaires de graisses ou d'huiles animales, végétales ou d'origine microbienne ou de fractions de différentes graisses ou huiles du présent Chapitre, autres que les graisses et huiles alimentaires ou leurs fractions du n° 15.16.	kg	10.00	2	actif
1517.10.00.00	- Margarine, à l'exclusion de la margarine liquide - Autres :	kg	20.00	3	actif
1517.90.10.00	-- Autres préparations alimentaires de	kg	20.00	3	actif
1517.90.90.00	-- Autres	kg	20.00	3	actif
1518.00.00.00	Graisses et huiles animales, végétales ou d'origine microbienne et leurs fractions, cuites, oxydées, déshydratées, sulfurées, soufflées, standolisées ou autrement modifiées chimiquement, à l'exclusion de celles du n° 15.16; mélanges ou préparations non alimentaires de graisses ou d'huiles animales, végétales ou d'origine microbienne ou de fractions de différentes graisses ou huiles du présent Chapitre, non dénommés ni compris ailleurs.	kg	20.00	3	actif
1520.00.00.00	Glycérol brut; eaux et lessives glycérineuses. Cires végétales (autres que les triglycérides), cires d'abeilles ou d'autres insectes et spermaceti, même raffinés ou colorés.	kg	10.00	2	actif
1521.10.00.00	- Cires végétales - Autres :	kg	5.00	1	actif
1521.90.10.00	-- Cires d'abeilles et d'autres insectes	kg	5.00	1	actif
1521.90.90.00	-- Autres	kg	5.00	1	actif
1522.00.00.00	Dégras; résidus provenant du traitement des corps gras ou des cires animales ou végétales.	kg	10.00	2	actif
1601.00.10.00	- De foies	kg	35.00	4	actif
1601.00.90.00	- Autres Autres préparations et conserves de viande, d'abats, de sang ou d'insectes.	kg	35.00	4	actif
1602.10.00.00	- Préparations homogénéisées	kg	20.00	3	actif
1602.20.00.00	- De foies de tous animaux - De volailles du n° 01.05 :	kg	35.00	4	actif
1602.31.00.00	-- De dinde	kg	35.00	4	actif
1602.32.00.00	-- De volailles de l'espèce Gallus domesticus	kg	35.00	4	actif
1602.39.00.00	-- Autres	kg	35.00	4	actif
1602.41.00.00	-- Jambons et leurs morceaux	kg	35.00	4	actif
1602.42.00.00	-- Epaules et leurs morceaux	kg	35.00	4	actif
1602.49.00.00	-- Autres, y compris les mélanges - De l'espèce bovine :	kg	35.00	4	actif
1602.50.10.00	-- Conditionnées dans des emballages métalliques hermétiquement fermés de type <<Corned beef>>	kg	35.00	4	actif
1602.50.90.00	-- Autres	kg	35.00	4	actif
1602.90.00.00	- Autres, y compris les préparations de sang de Tous animaux	kg	35.00	4	actif
1603.00.00.00	Extraits et jus de viande, de poissons ou de crustacés, de mollusques ou d'autres invertébrés aquatiques. Préparations et conserves de poissons; caviar et ses succédanés préparés à partir d'(cid:3)ufs de poisson. - Poissons entiers ou en morceaux, à l'exclusion des poissons hachés :	kg	20.00	3	actif
1604.11.00.00	-- Saumons	kg	20.00	3	actif
1604.12.00.00	-- Harengs -- Sardines, sardinelles et sprats ou esprots :	kg	20.00	3	actif
1604.13.10.00	--- Sardines en conserves ordinaires en boîtes de 1/4 club de 30 mm de hauteur ou moins	kg	20.00	3	actif
1604.13.90.00	--- Autres	kg	20.00	3	actif
1604.14.00.00	-- Thons, listaos et bonites (Sarda spp.)	kg	20.00	3	actif
1604.15.00.00	-- Maquereaux	kg	20.00	3	actif
1604.16.00.00	-- Anchois	kg	20.00	3	actif
1604.17.00.00	-- Anguilles	kg	20.00	3	actif
1604.18.00.00	-- Ailerons de requins	kg	20.00	3	actif
1604.19.00.00	-- Autres	kg	20.00	3	actif
1604.20.00.00	- Autres préparations et conserves de poissons - Caviar et ses succédanés :	kg	20.00	3	actif
1604.31.00.00	-- Caviar	kg	20.00	3	actif
1604.32.00.00	-- Succédanés de caviar Crustacés, mollusques et autres invertébrés aquatiques, préparés ou conservés.	kg	20.00	3	actif
1605.10.00.00	- Crabes - Crevettes :	kg	20.00	3	actif
1605.21.00.00	-- Non présentées dans un contenant hermétique	kg	20.00	3	actif
1605.29.00.00	-- Autres	kg	20.00	3	actif
1605.30.00.00	- Homards	kg	20.00	3	actif
1605.40.00.00	- Autres crustacés - Mollusques :	kg	20.00	3	actif
1605.51.00.00	-- Huîtres	kg	20.00	3	actif
1605.52.00.00	-- Coquilles St Jacques ou peignes, pétoncles ou vanneaux, autres coquillages	kg	20.00	3	actif
1605.53.00.00	-- Moules	kg	20.00	3	actif
1605.54.00.00	-- Seiches, sépioles, calmars et encornets	kg	20.00	3	actif
1605.55.00.00	-- Poulpes ou pieuvres	kg	20.00	3	actif
1605.56.00.00	-- Clams, coques et arches	kg	20.00	3	actif
1605.57.00.00	-- Ormeaux	kg	20.00	3	actif
1605.58.00.00	-- Escargots, autres que de mer	kg	20.00	3	actif
1605.59.00.00	-- Autres - Autres invertébrés aquatiques :	kg	20.00	3	actif
1605.61.00.00	-- Bêches-de-mer	kg	20.00	3	actif
1605.62.00.00	-- Oursins	kg	20.00	3	actif
1605.63.00.00	-- Méduses	kg	20.00	3	actif
1605.69.00.00	-- Autres	kg	20.00	3	actif
1701.12.00.00	-- De betterave	kg	20.00	3	actif
1701.13.00.00	-- Sucre de canne mentionné dans la Note 2 de sous-positions du présent Chapitre -- Autres sucres de canne :	kg	10.00	2	actif
1701.14.10.00	--- Destinés à l'industrie de raffinerie du sucre	kg	10.00	2	actif
1701.14.90.00	--- Autres - Autres : -- Additionnés d'aromatisants ou de colorants :	kg	20.00	3	actif
1701.91.10.00	--- En poudre, en granulés ou cristallisés	kg	20.00	3	actif
1701.91.90.00	--- Autres -- Autres :	kg	20.00	3	actif
1701.99.10.00	--- En poudre, en granulés ou cristallisés	kg	20.00	3	actif
1701.99.90.00	--- Autres Autres sucres, y compris le lactose, le maltose, le glucose et le fructose (lévulose) chimiquement purs, à l'état solide; sirops de sucres sans addition d'aromatisants ou de colorants; succédanés du miel, même mélangés de miel naturel; sucres et mélasses caramélisés. - Lactose et sirop de lactose :	kg	20.00	3	actif
1702.11.00.00	-- Contenant en poids 99 % ou plus de lactose, exprimé en lactose anhydre calculé sur matière sèche	kg	5.00	1	actif
1702.19.00.00	-- Autres	kg	5.00	1	actif
1702.20.00.00	- Sucre et sirop d'érable	kg	5.00	1	actif
1702.30.00.00	- Glucose et sirop de glucose, ne contenant pas de fructose ou contenant en poids à l'état sec moins de 20 % de fructose	kg	5.00	1	actif
1702.40.00.00	- Glucose et sirop de glucose, contenant en poids à l'état sec de 20 % inclus à 50 % exclus de fructose, à l'exception du sucre inverti (ou interverti)	kg	5.00	1	actif
1702.50.00.00	- Fructose chimiquement pur	kg	5.00	1	actif
1702.60.00.00	- Autre fructose et sirop de fructose, conte- nant en poids à l'état sec plus de 50 % de fructose, à l'exception du sucre inverti (ou interverti)	kg	5.00	1	actif
1702.90.00.00	- Autres, y compris le sucre inverti (ou interverti) et les autres sucres et sirops de sucres contenant en poids à l'état sec 50 % de fructose Mélasses résultant de l'extraction ou du raffinage du sucre.	kg	5.00	1	actif
1703.10.00.00	- Mélasses de canne	kg	10.00	2	actif
1703.90.00.00	- Autres Sucreries sans cacao (y compris le chocolat blanc).	kg	10.00	2	actif
1704.10.00.00	- Gommes à mâcher (chewing-gum), même enrobées de sucre	kg	35.00	4	actif
1704.90.00.00	- Autres	kg	35.00	4	actif
1801.00.11.00	-- Qualité supérieur	kg	5.00	1	actif
1801.00.12.00	-- Qualité courant	kg	5.00	1	actif
1801.00.19.00	-- Autres qualités	kg	5.00	1	actif
1801.00.20.00	- Torréfié	kg	5.00	1	actif
1801.00.30.00	- Brisures de fèves	kg	5.00	1	actif
1802.00.00.00	Coques, pellicules (pelures) et autres déchets de cacao. Pâte de cacao, même dégraissée.	kg	10.00	2	actif
1803.10.00.00	- Non dégraissée	kg	10.00	2	actif
1803.20.00.00	- Complètement ou partiellement dégraissée Beurre, graisse et huile de cacao.	kg	10.00	2	actif
1804.00.10.00	- Graisse et huile de cacao.	kg	10.00	2	actif
1804.00.20.00	- Beurre naturel de cacao.	kg	10.00	2	actif
1804.00.90.00	- Autre beurre de cacao et cacao désodorisé. Poudre de cacao, sans addition de sucre ou d'autres édulcorants.	kg	10.00	2	actif
1805.00.10.00	- Présentée en emballages immédiats d'un Contenu net de 2kg ou moins	kg	35.00	4	actif
1805.00.90.00	- Autres Chocolat et autres préparations alimentaires contenant du cacao.	kg	35.00	4	actif
1806.10.00.00	- Poudre de cacao, avec addition de sucre ou d'autres édulcorants	kg	35.00	4	actif
1806.20.00.00	- Autres préparations présentées soit en Blocs ou en barres d'un poids excédant 2 kg, soit	kg	35.00	4	actif
1806.31.00.00	-- Fourrés -- Non fourrés :	kg	35.00	4	actif
1806.32.10.00	--- Chocolat	kg	35.00	4	actif
1806.32.90.00	--- Autres - Autres :	kg	35.00	4	actif
1806.90.10.00	-- Autres confiseries contenant du cacao, du chocolat ou les deux	kg	35.00	4	actif
1806.90.90.00	-- Autres préparations alimentaires contenant du cacao, du chocolat ou les deux	kg	35.00	4	actif
1901.10.00.00	- Préparations pour l'alimentation des nourris- sons et enfants en bas âge, conditionnées pour la vente au détail	kg	5.00	1	actif
1901.20.00.00	- Mélanges et pâtes pour la préparation des produits de la boulangerie, de la pâtisserie ou de la biscuiterie du n° 19.05 - Autres :	kg	10.00	2	actif
1901.90.10.00	-- Préparations à base de lait contenant des matières grasses végétales, en poudre ou en	kg	5.00	1	actif
1901.90.20.00	-- Préparations à base de lait contenant des matières grasses végétales, en poudre ou en granules, en emballages de plus de 12,5 kg mais n'excédant pas 25 kg.	kg	5.00	1	actif
1901.90.30.00	-- Extraits de malt	kg	5.00	1	actif
1901.90.40.00	-- Préparations en poudre contenant des extraits de malt, pour la fabrication de boissons, en emballages de 25kg ou plus	kg	10.00	2	actif
1901.90.91.00	--- Préparations alimentaires à base des produits de manioc du n° 11.06 (y compris le "Gari" et à l'exclusion des produits du n° 19.03) kg	kg	20.00	3	actif
1901.90.99.00	--- Autres kg Pâtes alimentaires, même cuites ou farcies (de viande ou d'autres substances) ou bien autrement préparées, telles que spaghetti, macaroni, nouilles, lasagnes, gnocchi, ravioli, cannelloni; couscous, même préparé. - Pâtes alimentaires non cuites ni farcies ni autrement préparées :	kg	20.00	3	actif
1902.11.00.00	-- Contenant des (cid:3)ufs kg	kg	20.00	3	actif
1902.19.00.00	-- Autres kg	kg	20.00	3	actif
1902.20.00.00	- Pâtes alimentaires farcies (même cuites ou autrement préparées) kg	kg	20.00	3	actif
1902.30.00.00	- Autres pâtes alimentaires kg	kg	20.00	3	actif
1902.40.00.00	- Couscous kg	kg	20.00	3	actif
1903.00.00.00	Tapioca et ses succédanés préparés à partir de fécules, sous forme de flocons, grumeaux, grains perlés, criblures ou formes similaires. kg Produits à base de céréales obtenus par soufflage ou grillage («corn flakes», par exemple); céréales (autres que le maïs) en grains ou sous forme de flocons ou d'autres grains travaillés (à l'exception de la farine, du gruau et de la semoule), précuites ou autrement préparées, non dénommées ni comprises ailleurs.	kg	20.00	3	actif
1904.10.00.00	- Produits à base de céréales obtenus par soufflage ou grillage kg - Préparations alimentaires obtenues à partir de flocons de céréales non grillés ou de mélanges de flocons de céréales non grillés et de flocons de céréales grillés ou de céréales soufflées :	kg	20.00	3	actif
1904.20.10.00	-- Flocons d'avoine en emballages immédiats de 25kg ou plus kg	kg	20.00	3	actif
1904.20.90.00	-- Autres kg	kg	20.00	3	actif
1904.30.00.00	- Bulgur de blé kg	kg	20.00	3	actif
1904.90.00.00	- Autres kg	kg	20.00	3	actif
1905.10.00.00	- Pain croustillant dit «knäckebrot» kg	kg	20.00	3	actif
1905.20.00.00	- Pain d'épices kg - Biscuits additionnés d'édulcorants; gaufres et gaufrettes :	kg	20.00	3	actif
1905.31.00.00	-- Biscuits additionnés d'édulcorants kg	kg	35.00	4	actif
1905.32.00.00	-- Gaufres et gaufrettes kg	kg	35.00	4	actif
1905.40.00.00	- Biscottes, pain grillé et produits similaires grillés kg	kg	35.00	4	actif
1905.90.00.00	- Autres kg	kg	35.00	4	actif
2001.10.00.00	- Concombres et cornichons	kg	20.00	3	actif
2001.90.00.00	- Autres Tomates préparées ou conservées autrement qu'au vinaigre ou à l'acide acétique.	kg	20.00	3	actif
2002.10.00.00	- Tomates, entières ou en morceaux - Autres : -- Concentrés de tomates non conditionnés pour la vente au détail :	kg	35.00	4	actif
2002.90.11.00	--- Triples concentrés	kg	10.00	2	actif
2002.90.19.00	--- Autres	kg	10.00	2	actif
2002.90.20.00	-- Concentrés de tomates conditionnés pour la vente au détail	kg	35.00	4	actif
2002.90.90.00	-- Autres Champignons et truffes, préparés ou conservés autrement qu'au vinaigre ou à l'acide acétique.	kg	35.00	4	actif
2003.10.00.00	- Champignons du genre Agaricus	kg	20.00	3	actif
2003.90.00.00	- Autres Autres légumes préparés ou conservés autrement qu'au vinaigre ou à l'acide acétique, congelés, autres que les produits du n° 20.06.	kg	20.00	3	actif
2004.10.00.00	- Pommes de terre	kg	35.00	4	actif
2004.90.00.00	- Autres légumes et mélanges de légumes Autres légumes préparés ou conservés autrement qu'au vinaigre ou à l'acide acétique, non congelés, autres que les produits du n° 20.06.	kg	20.00	3	actif
2005.10.00.00	- Légumes homogénéisés	kg	20.00	3	actif
2005.20.00.00	- Pommes de terre	kg	35.00	4	actif
2005.40.00.00	- Pois (Pisum sativum) - Haricots (Vigna spp., Phaseolus spp.) :	kg	20.00	3	actif
2005.51.00.00	-- Haricots en grains	kg	20.00	3	actif
2005.59.00.00	-- Autres	kg	20.00	3	actif
2005.60.00.00	- Asperges	kg	20.00	3	actif
2005.70.00.00	- Olives	kg	20.00	3	actif
2005.80.00.00	- Maïs doux (Zea mays var. saccharata) - Autres légumes et mélanges de légumes :	kg	20.00	3	actif
2005.91.00.00	-- Jets de bambou	kg	20.00	3	actif
2005.99.00.00	-- Autres	kg	20.00	3	actif
2006.00.00.00	Légumes, fruits, écorces de fruits et autres parties de plantes, confits au sucre (égouttés, glacés ou cristallisés). Confitures, gelées, marmelades, purées et pâtes de fruits, obtenues par cuisson, avec ou sans addition de sucre ou d'autres édulcorants.	kg	20.00	3	actif
2007.10.00.00	- Préparations homogénéisées - Autres :	kg	20.00	3	actif
2007.91.00.00	-- Agrumes	kg	20.00	3	actif
2007.99.00.00	-- Autres	kg	20.00	3	actif
2008.11.10.00	--- Beurre d'arachide	kg	20.00	3	actif
2008.11.90.00	--- Autres	kg	20.00	3	actif
2008.19.00.00	-- Autres, y compris les mélanges	kg	20.00	3	actif
2008.20.00.00	- Ananas	kg	20.00	3	actif
2008.30.00.00	- Agrumes	kg	20.00	3	actif
2008.40.00.00	- Poires	kg	20.00	3	actif
2008.50.00.00	- Abricots	kg	20.00	3	actif
2008.60.00.00	- Cerises	kg	20.00	3	actif
2008.70.00.00	- Pêches, y compris les brugnons et nectarines	kg	20.00	3	actif
2008.80.00.00	- Fraises - Autres, y compris les mélanges à l'exception de ceux du n° 2008.19 :	kg	20.00	3	actif
2008.91.00.00	-- C(cid:3)urs de palmiers	kg	20.00	3	actif
2008.93.00.00	-- Canneberges (Vaccinium macrocarpon, Vaccinium oxycoccos); airelles rouges (Vaccinium vitis-idaea)(cid:6).	kg	20.00	3	actif
2008.97.00.00	-- Mélanges	kg	20.00	3	actif
2008.99.00.00	-- Autres Jus de fruits (y compris les moûts de raisin et l'eau de noix de coco) ou de légumes, non fermentés, sans addition d'alcool, avec ou sans addition de sucre ou d'autres édulcorants. - Jus d'orange : -- Congelés :	kg	20.00	3	actif
2009.11.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.11.90.00	--- Autres -- Non congelés, d'une valeur Brix n'excédant pas 20 :	kg	20.00	3	actif
2009.12.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.12.90.00	--- Autres -- Autres :	kg	20.00	3	actif
2009.19.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.19.90.00	--- Autres - Jus de pamplemousse; jus de pomelo : -- D'une valeur Brix n'excédant pas 20 :	kg	20.00	3	actif
2009.21.10.00	--- Concentrés, présentés en emballages de 25	kg	10.00	2	actif
2009.21.90.00	--- Autres -- Autres :	kg	20.00	3	actif
2009.29.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.29.90.00	--- Autres - Jus de tout autre agrume : -- D'une valeur Brix n'excédant pas 20 :	kg	20.00	3	actif
2009.31.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.31.90.00	--- Autres -- Autres :	kg	20.00	3	actif
2009.39.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.39.90.00	--- Autres - Jus d'ananas : -- D'une valeur Brix n'excédant pas 20 :	kg	20.00	3	actif
2009.41.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.41.90.00	--- Autres -- Autres :	kg	20.00	3	actif
2009.49.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.49.90.00	--- Autres - Jus de tomate :	kg	20.00	3	actif
2009.50.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.50.90.00	--- Autres - Jus de raisin (y compris les moûts de raisin) : -- D'une valeur Brix n'excédant pas 30 :	kg	20.00	3	actif
2009.61.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.61.90.00	--- Autres -- Autres :	kg	20.00	3	actif
2009.69.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.69.90.00	--- Autres - Jus de pomme : -- D'une valeur Brix n'excédant pas 20 :	kg	20.00	3	actif
2009.71.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.71.90.00	--- Autres -- Autres :	kg	20.00	3	actif
2009.79.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.79.90.00	--- Autres - Jus de tout autre fruit ou légume :	kg	20.00	3	actif
2009.81.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.81.90.00	--- Autres -- Autres : --- Jus de goyaves :	kg	20.00	3	actif
2009.89.11.00	---- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.89.19.00	---- Autres --- Jus de Tamarin :	kg	20.00	3	actif
2009.89.21.00	---- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.89.29.00	---- Autres --- Jus de mangues :	kg	20.00	3	actif
2009.89.31.00	---- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.89.39.00	---- Autres --- Autres :	kg	20.00	3	actif
2009.89.91.00	---- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.89.99.00	---- Autres - Mélanges de jus :	kg	20.00	3	actif
2009.90.10.00	--- Concentrés, présentés en emballages de 25 Kg ou plus destinés à l'industrie	kg	10.00	2	actif
2009.90.90.00	--- Autres	kg	20.00	3	actif
2101.11.00.00	-- Extraits, essences et concentrés	kg	10.00	2	actif
2101.12.00.00	-- Préparations à base d'extraits, essences ou concentrés ou à base de café	kg	20.00	3	actif
2101.20.00.00	- Extraits, essences et concentrés de thé ou de maté et préparations à base de ces extraits, essences ou concentrés ou à base de thé ou de maté	kg	10.00	2	actif
2101.30.00.00	- Chicorée torréfiée et autres succédanés torréfiés du café et leurs extraits, essences et concentrés	kg	20.00	3	actif
2102.10.00.00	- Levures vivantes	kg	5.00	1	actif
2102.20.00.00	- Levures mortes; autres micro-organismes monocellulaires morts	kg	5.00	1	actif
2102.30.00.00	- Poudres à lever préparées	kg	5.00	1	actif
2103.10.00.00	- Sauce de soja	kg	20.00	3	actif
2103.20.00.00	- «Tomato-ketchup» et autres sauces tomates	kg	35.00	4	actif
2103.30.00.00	- Farine de moutarde et moutarde préparée - Autres :	kg	20.00	3	actif
2103.90.10.00	-- Sauce de poisson (cid:7)(cid:7)Nuoc-Mam'' -- Autres:	kg	20.00	3	actif
2103.90.91.00	--- Assaisonnements et condiments en poudre en emballages de 25kg ou plus	kg	20.00	3	actif
2103.90.99.00	--- Autres Préparations pour soupes, potages ou bouillons; soupes, potages ou bouillons préparés; préparations alimentaires composites homogénéisées. - Préparations pour soupes, potages ou bouillons; soupes, potages ou bouillons préparés :	kg	20.00	3	actif
2104.10.10.00	-- Préparations présentées sous formes de tablettes, de pains ou de cubes	kg	20.00	3	actif
2104.10.90.00	-- Autres	kg	20.00	3	actif
2104.20.00.00	- Préparations alimentaires composites homogénéisées	kg	20.00	3	actif
2105.00.00.00	Glaces de consommation, même contenant du cacao. Préparations alimentaires non dénommées ni comprises ailleurs. - Concentrats de protéines et substances protéiques texturées :	kg	20.00	3	actif
2106.10.10.00	-- Concentrats de protéines	kg	5.00	1	actif
2106.10.20.00	-- Substances protéiques texturées - Autres :	kg	10.00	2	actif
2106.90.10.00	-- Sirops aromatisés et/ou additionnés de colorants -- Autres :	kg	20.00	3	actif
2106.90.91.00	--- Poudres utilisées dans la fabrication des bouillons (masses partielles)	kg	10.00	2	actif
2106.90.92.00	--- Extraits, essences et autres produits aromatisants des types utilisés dans les industries des boissons	kg	10.00	2	actif
2106.90.93.00	--- Améliorant pour panification	kg	5.00	1	actif
2106.90.94.00	--- Poudres pour la préparation instantanée des boissons	kg	20.00	3	actif
2106.90.95.00	--- Préparations pour tisanes ou infusions	kg	20.00	3	actif
2106.90.96.00	--- Compléments alimentaires	kg	20.00	3	actif
2106.90.99.00	--- Autres	kg	20.00	3	actif
2201.10.10.00	-- Eaux minérales	l	35.00	4	actif
2201.10.20.00	-- Eaux gazéifiées	l	35.00	4	actif
2201.90.00.00	- Autres Eaux, y compris les eaux minérales et les eaux gazéifiées, additionnées de sucre ou d'autres édulcorants ou aromatisées, et autres boissons non alcooliques, à l'exclusion des jus de fruits ou de légumes du n° 20.09.	l	35.00	4	actif
2202.10.00.00	- Eaux, y compris les eaux minérales et les eaux gazéifiées, additionnées de sucre ou d'autres édulcorants ou aromatisées - Autres :	l	20.00	3	actif
2202.91.00.00	-- Bière sans alcool -- Autres :	1	20.00	3	a_verifier
2202.99.10.00	--- Boissons contenant une forte dose de caféine de type (cid:7) (cid:7)boissons énergisantes''	l	20.00	3	actif
2202.99.90.00	--- Autres Bières de malt.	l	20.00	3	actif
2203.00.10.00	- Présentées en récipients d'une contenance égale ou inférieure à 50 cl	l	20.00	3	actif
2203.00.90.00	- Autres	l	20.00	3	actif
2204.10.00.00	- Vins mousseux - Autres vins; moûts de raisin dont la fermentation a été empêchée ou arrêtée par addition d'alcool :	l	20.00	3	actif
2204.21.00.00	-- En récipients d'une contenance n'excédant pas 2 l	l	20.00	3	actif
2204.22.00.00	-- En récipients d'une contenance excédant 2 l mais n'excédant pas 10 l -- Autres :	l	20.00	3	actif
2204.29.10.00	--- Vins de raisins présentés en emballages de 200 litres ou plus, destinés à l'industrie	l	20.00	3	actif
2204.29.90.00	--- Autres	l	20.00	3	actif
2204.30.00.00	- Autres moûts de raisin Vermouths et autres vins de raisins frais préparés à l'aide de plantes ou de substances aromatiques.	l	20.00	3	actif
2205.10.00.00	- En récipients d'une contenance n'excédant pas 2 l	l	20.00	3	actif
2205.90.00.00	- Autres Autres boissons fermentées (cidre, poiré, hydromel, saké par exemple); mélanges de boissons fermentées et mélanges de boissons fermentées et de boissons non alcooliques, non dénommés ni compris ailleurs.	l	20.00	3	actif
2206.00.10.00	- Bières autres que de malt - Autres	l	20.00	3	actif
2206.00.91.00	-- Vin de palme	l	20.00	3	actif
2206.00.99.00	-- Autres Alcool éthylique non dénaturé d'un titre alcoométrique volumique de 80 % vol ou plus; alcool éthylique et eaux-de-vie dénaturés de tous titres.	l	20.00	3	actif
2207.10.10.00	-- A usages médicamenteux ou pharmaceutiques	l	10.00	2	actif
2207.10.90.00	-- Autres	l	20.00	3	actif
2207.20.00.00	- Alcool éthylique et eaux-de-vie dénaturés de tous titres Alcool éthylique non dénaturé d'un titre alcoométrique volumique de moins de 80 % vol; eaux-de-vie, liqueurs et autres boissons spiritueuses.	l	10.00	2	actif
2208.20.10.00	-- Cognac	l	20.00	3	actif
2208.20.90.00	-- Autres	l	20.00	3	actif
2208.30.00.00	- Whiskies	l	20.00	3	actif
2208.40.00.00	- Rhum et autres eaux-de-vie provenant de la distillation, après fermentation, de produits de cannes à sucre	l	20.00	3	actif
2208.50.00.00	- Gin et genièvre	l	20.00	3	actif
2208.60.00.00	- Vodka	l	20.00	3	actif
2208.70.00.00	- Liqueurs	l	20.00	3	actif
2208.90.00.00	- Autres Vinaigres comestibles et succédanés de vinaigre comestibles obtenus à partir d'acide acétique.	l	20.00	3	actif
2209.00.10.00	- Vinaigre d'alcool	l	20.00	3	actif
2209.00.90.00	- Autres	l	20.00	3	actif
2301.10.00.00	- Farines, poudres et agglomérés sous forme de pellets, de viandes ou d'abats; cretons	kg	10.00	2	actif
2301.20.00.00	- Farines, poudres et agglomérés sous forme de pellets, de poissons ou de crustacés, de mollusques ou d'autres invertébrés aquatiques Sons, remoulages et autres résidus, même agglomérés sous forme de pellets, du criblage, de la mouture ou d'autres traitements des céréales ou des légumineuses.	kg	10.00	2	actif
2302.10.00.00	- De maïs	kg	10.00	2	actif
2302.30.00.00	- De froment	kg	10.00	2	actif
2302.40.00.00	- D'autres céréales	kg	10.00	2	actif
2302.50.00.00	- De légumineuses Résidus d'amidonnerie et résidus similaires, pulpes de betteraves, bagasses de cannes à sucre et autres déchets de sucrerie, drêches et déchets de brasserie ou de distillerie, même agglomérés sous forme de pellets.	kg	10.00	2	actif
2303.10.00.00	- Résidus d'amidonnerie et résidus similaires	kg	10.00	2	actif
2303.20.00.00	- Pulpes de betteraves, bagasses de cannes à sucre et autres déchets de sucrerie	kg	10.00	2	actif
2303.30.00.00	- Drêches et déchets de brasserie ou de distillerie	kg	10.00	2	actif
2304.00.00.00	Tourteaux et autres résidus solides, même broyés ou agglomérés sous forme de pellets, de	kg	10.00	2	actif
2305.00.00.00	Tourteaux et autres résidus solides, même broyés ou agglomérés sous forme de pellets, de l'extraction de l'huile d'arachide.	kg	10.00	2	actif
2306.10.00.00	- De graines de coton	kg	10.00	2	actif
2306.20.00.00	- De graines de lin	kg	10.00	2	actif
2306.30.00.00	- De graines de tournesol - De graines de navette ou de colza :	kg	10.00	2	actif
2306.41.00.00	-- De graines de navette ou de colza à faible teneur en acide érucique	kg	10.00	2	actif
2306.49.00.00	-- Autres	kg	10.00	2	actif
2306.50.00.00	- De noix de coco ou de coprah	kg	10.00	2	actif
2306.60.00.00	- De noix ou d'amandes de palmiste	kg	10.00	2	actif
